c,id,la,lo,m,n,r
97,31,51.581781,-0.34273400000000004,Harrow,harrow,10
97,442,51.555606,0.200715,Harrow Lodge,harrowlodge,10
85,1405,-25.736241,27.879984000000004,Hartbeespoort,hartbeespoort,44
85,1184,-34.107791,22.085544,Hartenbos,hartenbos,47
97,457,54.686937,-1.195128,Hartlepool,hartlepool,9
42,1058,53.395076,-6.415828,Hartstown,hartstown,29
97,1290,51.938035,1.284809,Harwich,harwich,11
97,1197,50.850291,0.5397390000000001,Hastings,hastings,17
3,565,-38.307311,145.196651,Hastings Foreshore,hastingsforeshore,6
97,97,50.875771,-0.975565,Havant,havant,17
97,640,51.797163,-4.9928360000000005,Haverfordwest,haverfordwest,12
97,656,57.141371,-2.175647,Hazlehead,hazlehead,7
85,1709,-25.035941,31.115198,Hazyview,hazyview,41
97,88,51.784040999999995,-0.308884,Heartwood Forest,heartwoodforest,11
97,18,53.531975,-2.256263,Heaton Park,heaton,8
85,1658,-29.147254999999998,26.261941999999998,Heidedal,heidedal,43
97,234,51.531978,-0.9192879999999999,Henley-on-Thames,henleyonthames,17
97,1001,52.068892,-2.724152,Hereford,hereford,14
98,1688,41.341177,-88.785212,Heritage Harbor,heritageharbor,26
85,1335,-34.397417,19.215073999999998,Hermanus,hermanus,61
85,1283,-26.756736,27.844026,Heron Banks,heronbanks,43
3,668,-25.283163000000002,152.90367,Hervey Bay,herveybay,4
97,126,51.546959,-0.10288399999999999,Highbury Fields,highburyfields,10
3,1358,-27.453643,151.938702,Highfields,highfields,4
3,545,-37.59106,144.90371299999998,Highlands,highlands,6
97,484,53.40845699999999,-1.501973,Hillsborough,hillsborough,18
85,1697,-25.679660000000002,28.154745000000002,Hillside,hillside,35
97,391,51.460143,-0.025019,Hilly Fields,hillyfields,10
3,446,-42.804471,147.33235200000001,Hobart,hobart,28
97,309,51.400981,0.098847,Hoblingwell,hoblingwell,10
97,1110,51.596133,0.64912,Hockley Woods,hockleywoods,11
